gene_id,in_plasmodb_query,chromosomal,in_kucharski_review,in_analysed_panel,sequence_shipped,membership_reason,gene_symbol,product_description
PF3D7_0505500,True,True,False,True,True,retained from PlasmoDB query,MSH6,"DNA mismatch repair protein MSH6, putative"
PF3D7_0508300,True,True,False,True,True,retained from PlasmoDB query,TPT,triose phosphate transporter
PF3D7_0509800,True,True,False,True,True,retained from PlasmoDB query,PI4KB,phosphatidylinositol 4-kinase beta
PF3D7_0511000,True,True,False,True,True,retained from PlasmoDB query,TCTP,translationally-controlled tumor protein homolog
PF3D7_0515300,True,True,False,False,False,excluded: reason not documented in Methods,,phosphatidylinositol 3-kinase
PF3D7_0516500,True,True,False,True,True,retained from PlasmoDB query,MFS1,"major facilitator superfamily domain-containing protein, putative"
PF3D7_0522600,True,True,False,True,True,retained from PlasmoDB query,nan,"magnesium transporter NIPA, putative"
PF3D7_0523000,True,True,False,True,True,retained from PlasmoDB query,MDR1,multidrug resistance protein 1
PF3D7_0528100,True,True,False,True,True,retained from PlasmoDB query,nan,"AP-1/2 complex subunit beta, putative"
PF3D7_0530200,True,True,False,True,True,retained from PlasmoDB query,PPT,phosphoenolpyruvate/phosphate translocator
PF3D7_0603300,True,True,False,True,True,retained from PlasmoDB query,DHODH,dihydroorotate dehydrogenase
PF3D7_0604700,True,True,False,True,True,retained from PlasmoDB query,GILP,glyoxalase I-like protein GILP
PF3D7_0605300,True,True,False,True,True,retained from PlasmoDB query,ARK1,aurora-related kinase ARK1
PF3D7_0606000,True,True,False,True,True,retained from PlasmoDB query,KIC1,protein KIC1
PF3D7_0609700,True,True,False,True,True,retained from PlasmoDB query,KIC6,protein KIC6
PF3D7_0612300,True,True,False,True,True,retained from PlasmoDB query,TMEM234,"transmembrane protein 234, putative"
PF3D7_0615500,True,True,False,True,True,retained from PlasmoDB query,CRK5,cdc2-related protein kinase 5
PF3D7_0616200,True,True,False,True,True,retained from PlasmoDB query,NDC80,kinetochore protein NDC80
PF3D7_0616900,True,True,False,True,True,retained from PlasmoDB query,nan,"conserved Plasmodium protein, unknown function"
PF3D7_0623200,True,True,False,True,True,retained from PlasmoDB query,FNR,ferredoxin--NADP reductase
PF3D7_0628200,True,True,False,True,True,retained from PlasmoDB query,PK4,eukaryotic translation initiation factor 2-alpha kinase
PF3D7_0629500,True,True,False,True,True,retained from PlasmoDB query,AAT1,amino acid transporter AAT1
PF3D7_0702200,True,True,False,True,True,retained from PlasmoDB query,LPL20,lysophospholipase LPL20
PF3D7_0703200,True,True,False,False,False,excluded: reason not documented in Methods,,"conserved Plasmodium protein, unknown function"
PF3D7_0705900,True,True,False,True,True,retained from PlasmoDB query,nan,"ATP synthase subunit C, putative"
PF3D7_0706700,True,True,False,True,True,retained from PlasmoDB query,MSH2-2,"DNA mismatch repair protein MSH2, putative"
PF3D7_0708600,True,True,False,True,True,retained from PlasmoDB query,IMC1d,"inner membrane complex protein 1d, putative"
PF3D7_0708700,True,True,False,True,True,retained from PlasmoDB query,COX4,"cytochrome c oxidase subunit 4, putative"
PF3D7_0708800,True,True,False,True,True,retained from PlasmoDB query,HSP110c,heat shock protein 110
PF3D7_0708900,True,True,False,True,True,retained from PlasmoDB query,SCO1,"protein SCO1, putative"
PF3D7_0709000,True,True,True,True,True,retained from PlasmoDB query,CRT,chloroquine resistance transporter
PF3D7_0709100,True,True,False,True,True,retained from PlasmoDB query,nan,Cg1 protein
PF3D7_0709300,True,True,False,True,True,retained from PlasmoDB query,MED14,"mediator of RNA polymerase II transcription subunit 14, putative"
PF3D7_0709400,True,True,False,True,True,retained from PlasmoDB query,nan,Cg7 protein
PF3D7_0709700,True,True,False,True,True,retained from PlasmoDB query,PARE,prodrug activation and resistance esterase
PF3D7_0715500,True,True,False,True,True,retained from PlasmoDB query,nan,"ATP synthase subunit epsilon, mitochondrial, putative"
PF3D7_0715800,True,True,False,True,True,retained from PlasmoDB query,DMT1,"drug/metabolite transporter DMT1, putative"
PF3D7_0716900,True,True,False,True,True,retained from PlasmoDB query,DMT2,drug/metabolite transporter DMT2
PF3D7_0720700,False,True,False,True,True,added: literature ART-R gene (not in PlasmoDB query),PX1,
PF3D7_0728000,True,True,False,True,True,retained from PlasmoDB query,eIF2alpha,eukaryotic translation initiation factor 2 subunit alpha
